slug_game,discipline,event,medal_type,athlete_name,country,address,latitude,longitude
2022-beijing,Biathlon,Mixed Relay 4x6km (W+M),GOLD,Tiril ECKHOFF,Norway,Oslo,59.9133301,10.7389701
2022-beijing,Biathlon,Mixed Relay 4x6km (W+M),GOLD,Marte Olsbu ROEISELAND,Norway,Oslo,59.9133301,10.7389701
2022-beijing,Biathlon,Mixed Relay 4x6km (W+M),GOLD,Tarjei BOE,Norway,Oslo,59.9133301,10.7389701
2022-beijing,Biathlon,Mixed Relay 4x6km (W+M),GOLD,Johannes Thingnes BOE,Norway,Oslo,59.9133301,10.7389701
2022-beijing,Biathlon,Mixed Relay 4x6km (W+M),SILVER,Anais CHEVALIER-BOUCHET,France,Paris,48.8588897,2.320041022
2022-beijing,Biathlon,Mixed Relay 4x6km (W+M),SILVER,Quentin FILLON MAILLET,France,Paris,48.8588897,2.320041022
2022-beijing,Biathlon,Mixed Relay 4x6km (W+M),SILVER,Emilien JACQUELIN,France,Paris,48.8588897,2.320041022
2022-beijing,Biathlon,Mixed Relay 4x6km (W+M),SILVER,Julia SIMON,France,Paris,48.8588897,2.320041022
2022-beijing,Biathlon,Mixed Relay 4x6km (W+M),BRONZE,Uliana NIGMATULLINA,ROC,Moscow,55.7504461,37.6174943
2022-beijing,Biathlon,Mixed Relay 4x6km (W+M),BRONZE,Kristina REZTSOVA,ROC,Moscow,55.7504461,37.6174943
2022-beijing,Biathlon,Mixed Relay 4x6km (W+M),BRONZE,Eduard LATYPOV,ROC,Moscow,55.7504461,37.6174943
2022-beijing,Biathlon,Mixed Relay 4x6km (W+M),BRONZE,Alexander LOGINOV,ROC,Moscow,55.7504461,37.6174943
2022-beijing,Cross-Country Skiing,Women's 7.5km + 7.5km Skiathlon,GOLD,Therese JOHAUG,Norway,Oslo,59.9133301,10.7389701
2022-beijing,Cross-Country Skiing,Women's 7.5km + 7.5km Skiathlon,SILVER,Natalia NEPRYAEVA,ROC,Moscow,55.7504461,37.6174943
2022-beijing,Cross-Country Skiing,Women's 7.5km + 7.5km Skiathlon,BRONZE,Teresa STADLOBER,Austria,Vienna,48.2083537,16.3725042
2022-beijing,Freestyle Skiing,Men's Moguls,GOLD,Walter WALLBERG,Sweden,Stockholm,59.3251172,18.0710935
2022-beijing,Freestyle Skiing,Men's Moguls,SILVER,Mikael KINGSBURY,Canada,Ottawa,45.4211435,-75.6900574
2022-beijing,Freestyle Skiing,Men's Moguls,BRONZE,Ikuma HORISHIMA,Japan,Tokyo,35.6828387,139.7594549
2022-beijing,Short Track Speed Skating,Mixed Team Relay,GOLD,Dajing WU,People's Republic of China,People's Republic of China,35.000074,104.999927
2022-beijing,Short Track Speed Skating,Mixed Team Relay,GOLD,Ziwei REN,People's Republic of China,People's Republic of China,35.000074,104.999927
2022-beijing,Short Track Speed Skating,Mixed Team Relay,GOLD,Yuting ZHANG,People's Republic of China,People's Republic of China,35.000074,104.999927
2022-beijing,Short Track Speed Skating,Mixed Team Relay,GOLD,Chunyu QU,People's Republic of China,People's Republic of China,35.000074,104.999927
2022-beijing,Short Track Speed Skating,Mixed Team Relay,GOLD,Kexin FAN,People's Republic of China,People's Republic of China,35.000074,104.999927
2022-beijing,Short Track Speed Skating,Mixed Team Relay,SILVER,Martina VALCEPINA,Italy,Rome,41.8933203,12.4829321
2022-beijing,Short Track Speed Skating,Mixed Team Relay,SILVER,Arianna FONTANA,Italy,Rome,41.8933203,12.4829321
2022-beijing,Short Track Speed Skating,Mixed Team Relay,SILVER,Arianna VALCEPINA,Italy,Rome,41.8933203,12.4829321
2022-beijing,Short Track Speed Skating,Mixed Team Relay,SILVER,Andrea CASSINELLI,Italy,Rome,41.8933203,12.4829321
2022-beijing,Short Track Speed Skating,Mixed Team Relay,SILVER,Yuri CONFORTOLA,Italy,Rome,41.8933203,12.4829321
2022-beijing,Short Track Speed Skating,Mixed Team Relay,SILVER,Pietro SIGHEL,Italy,Rome,41.8933203,12.4829321
2022-beijing,Short Track Speed Skating,Mixed Team Relay,BRONZE,Petra JASZAPATI,Hungary,Budapest,47.4979937,19.0403594
2022-beijing,Short Track Speed Skating,Mixed Team Relay,BRONZE,Zsofia KONYA,Hungary,Budapest,47.4979937,19.0403594
2022-beijing,Short Track Speed Skating,Mixed Team Relay,BRONZE,John-Henry KRUEGER,Hungary,Budapest,47.4979937,19.0403594
2022-beijing,Short Track Speed Skating,Mixed Team Relay,BRONZE,Shaoang LIU,Hungary,Budapest,47.4979937,19.0403594
2022-beijing,Short Track Speed Skating,Mixed Team Relay,BRONZE,Shaolin Sandor LIU,Hungary,Budapest,47.4979937,19.0403594
2022-beijing,Ski Jumping,Women's Normal Hill Individual,GOLD,Ursa BOGATAJ,Slovenia,Ljubljana,46.0500268,14.5069289
2022-beijing,Ski Jumping,Women's Normal Hill Individual,SILVER,Katharina ALTHAUS,Germany,Berlin,52.5170365,13.3888599
2022-beijing,Ski Jumping,Women's Normal Hill Individual,BRONZE,Nika KRIZNAR,Slovenia,Ljubljana,46.0500268,14.5069289
2022-beijing,Speed Skating,Women's 3000m,GOLD,Irene SCHOUTEN,Netherlands,Amsterdam,52.3727598,4.8936041
2022-beijing,Speed Skating,Women's 3000m,SILVER,Francesca LOLLOBRIGIDA,Italy,Rome,41.8933203,12.4829321
2022-beijing,Speed Skating,Women's 3000m,BRONZE,Isabelle WEIDEMANN,Canada,Ottawa,45.4211435,-75.6900574
2022-beijing,Cross-Country Skiing,Men's 15km + 15km Skiathlon,GOLD,Alexander BOLSHUNOV,ROC,Moscow,55.7504461,37.6174943
2022-beijing,Cross-Country Skiing,Men's 15km + 15km Skiathlon,SILVER,Denis SPITSOV,ROC,Moscow,55.7504461,37.6174943
2022-beijing,Cross-Country Skiing,Men's 15km + 15km Skiathlon,BRONZE,Iivo NISKANEN,Finland,Helsinki,60.1674881,24.9427473
2022-beijing,Freestyle Skiing,Women's Moguls,GOLD,Jakara ANTHONY,Australia,Canberra,-35.2975906,149.1012676
2022-beijing,Freestyle Skiing,Women's Moguls,SILVER,Jaelin KAUF,United States of America,United States of America,39.7837304,-100.445882
2022-beijing,Freestyle Skiing,Women's Moguls,BRONZE,Anastasiia SMIRNOVA,ROC,Moscow,55.7504461,37.6174943
